dataset,img_path
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00009669.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00008064.JPEG
real,adm/imagenet_ai_0508_adm/val/nature/ILSVRC2012_val_00049909.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00001282.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00042486.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00019824.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00036527.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00012201.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00003070.JPEG
real,adm/imagenet_ai_0508_adm/val/nature/ILSVRC2012_val_00015166.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00013470.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00037118.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00017236.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00012111.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00017961.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00030817.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00043080.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00005920.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00020995.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00003013.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00034660.JPEG
real,adm/imagenet_ai_0508_adm/val/nature/ILSVRC2012_val_00013868.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00004014.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00048711.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00018373.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00014597.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00012773.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00047357.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00025046.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00035375.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00033623.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00048461.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00003734.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00014030.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00044136.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00018903.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00009350.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00003322.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00013864.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00045251.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00000692.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00037221.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00019784.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00006307.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00032325.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00046711.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00016393.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00005314.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00032970.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00008570.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00045673.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00030767.JPEG
real,stable_diffusion_v_1_5/imagenet_ai_0424_sdv5/val/nature/ILSVRC2012_val_00003078.JPEG
real,vqdm/imagenet_ai_0419_vqdm/val/nature/ILSVRC2012_val_00042066.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00045026.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00020521.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00014731.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00031420.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00044280.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00039809.JPEG
real,Midjourney/imagenet_midjourney/val/nature/ILSVRC2012_val_00010032.JPEG
real,biggan/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00002699.JPEG
real,wukong/imagenet_ai_0424_wukong/val/nature/ILSVRC2012_val_00008154.JPEG
real,glide_copy/imagenet_glide/val/nature/ILSVRC2012_val_00010880.JPEG
real,stable_diffusion_v_1_4/imagenet_ai_0419_sdv4/val/nature/ILSVRC2012_val_00034539.JPEG
